sex	libraryprep
PB357.02_repA	0	2
PB357.07_repA	1	1
PB357.09_repA	1	1
PB357.12_repA	0	2
PB357.16_repA	0	2
PB357.18_repA	0	2
PB357.19_repA	0	2
PB357.20_repA	0	2
PB357.21_repA	0	2
PB357.22_repA	0	2
PB357.28_repA	0	2
PB357.29_repA	0	2
PB358.01_repA	0	2
PB358.04_repA	0	2
PB358.05_repA	1	1
PB358.07_repA	1	1
PB358.08_repA	1	1
PB358.12_repA	1	1
PB358.13_repA	1	1
PB358.18_repA	1	1
PB358.19_repA	1	1
PB358.25_repA	1	1
PB358.28_repA	1	1
PB358.29_repA	1	1
PB358.32_repA	1	1
PB358.33_repA	0	2
PB358.34_repA	1	1
PB358.39_repA	1	1
PB358.42_repA	1	1
PB358.43_repA	1	1
PB358.50_repA	1	1
PB358.57_repA	1	1
PB359.03_repA	1	1
PB359.06_repA	1	1
PB359.19_repA	1	1
PB359.22_repA	1	1
PB359.25_repA	1	1
PB359.29_repA	1	1
PB359.33_repA	1	1
PB359.41_repA	0	2
PB359.42_repA	0	2
PB359.49_repA	1	2
PB359.51_repA	1	1
PB359.55_repA	0	2
PB359.56_repA	1	1
PB359.57_repA	1	1
PB359.64_repA	1	1
PB359.65_repA	1	1
PB359.66_repA	1	1
PB359.67_repA	1	1
PB359.70_repA	0	2
PB359.73_repA	0	2
PB359.83_repA	0	2
PB359.84_repA	0	2
PB359.86_repA	0	2
PB359.87_repA	0	2
PB359.88_repA	1	1
PB359.90_repA	0	2
PB360.02_repA	1	1
PB360.07_repA	0	2
PB360.08_repA	1	1
PB360.09_repA	1	1
PB360.13_repA	0	2
PB360.15_repA	0	2
PB360.18_repA	0	2
PB360.21_repA	1	1
PB360.22_repA	1	1
PB360.24_repA	1	1
PB360.26_repA	0	2
PB360.32_repA	0	2
PB360.36_repA	1	1
PB360.41_repA	0	2
PB360.42_repA	0	2
PB360.45_repA	1	1
PB360.46_repA	0	2
PB360.49_repA	0	2
PB360.50_repA	0	2
PB360.52_repA	0	2
PB360.53_repA	0	2
PB360.57_repA	1	1
PB360.59_repA	0	2
PB360.70_repA	1	1
PB360.75_repA	0	2
PB360.76_repA	0	2
PB360.83_repA	1	1
PB360.86_repA	0	2
PB360.88_repA	0	2
PB360.93_repA	1	1
PB360.94_repA	0	2
PB361.01_repA	0	2
PB361.02_repA	1	1
PB361.11_repA	0	2
PB361.15_repA	0	2
PB361.21_repA	0	2
PB361.23_repA	1	1
PB361.24_repA	1	1
PB361.25_repA	1	1
PB361.28_repA	0	2
PB361.37_repA	0	1
PB361.39_repA	0	2
PB361.43_repA	0	2
PB361.44_repA	0	2
PB361.48_repA	1	1
PB361.59_repA	1	1
PB361.62_repA	1	1
PB361.63_repA	0	1
PB361.67_repA	0	1
PB361.69_repA	0	1
PB361.70_repA	0	2
PB361.73_repA	0	1
PB361.73_repB	0	2
PB361.76_repA	0	2
PB361.77_repA	0	2
PB361.78_repA	0	2
PB361.81_repA	0	2
PB361.85_repA	0	2
PB361.86_repA	1	1
PB361.88_repA	0	2
PB361.90_repB	0	2
PB361.91_repA	0	2
PB361.94_repA	0	2
PB362.07_repA	0	2
PB362.09_repA	0	1
PB362.11_repA	0	2
PB362.13_repA	0	1
PB362.40_repA	0	2
PB362.45_repA	0	2
PB362.56_repA	0	1
PB362.57_repA	1	1
PB362.65_repA	0	2
PB362.73_repA	0	2
PB363.02_repA	0	2
PB363.07_repA	1	1
PB363.08_repA	1	1
PB363.47_repA	0	2
PB363.55_repA	0	2
PB364.50_repA	1	1
PB364.73_repA	1	1
PB364.86_repA	1	1
PB365.13_repA	1	1
PB365.22_repA	0	2
PB365.33_repA	1	1
PB365.38_repA	0	2
PB365.45_repA	0	2
PB365.46_repA	0	2
PB365.47_repA	1	1
PB366.02_repA	0	2
PB366.03_repA	0	2
PB366.07_repA	1	1
PB366.15_repA	0	2
PB366.18_repA	1	1
PB366.21_repA	1	1
PB366.41_repA	0	2
PB366.43_repA	1	1
PB366.44_repA	1	1
PB366.51_repA	1	1
PB366.72_repA	0	2
PB366.78_repA	0	2
PB366.80_repA	0	2
PB366.87_repA	1	2
PB367.06_repA	0	2
PB367.10_repA	0	2
PB367.19_repA	1	1
PB367.26_repA	1	1
PB367.45_repA	1	1
PB367.45_repB	1	2
PB367.47_repA	1	1
PB367.55_repA	1	1
PB367.68_repA	1	1
PB368.05_repA	0	2
PB368.06_repA	0	2
PB368.12_repA	1	1
PB368.15_repA	0	2
PB368.19_repA	1	1
PB368.24_repA	1	1
PB368.41_repA	1	2
PB368.63_repA	1	1
PB368.79_repA	1	1
PB369.07_repA	1	1
PB369.08_repA	1	1
PB369.16_repA	1	1
PB369.18_repA	1	1
PB369.29_repA	1	1
PB369.32_repA	1	2
PB369.36_repA	1	2
