RNA	top_match	ATAC
PB357.02_repA	A903DI1A.A02	PB357.02
PB357.09_repA	A903DI1B.H08	PB360.09
PB357.12_repA	A903DI1A.A12	PB357.12
PB357.16_repA	A903DI1A.B04	PB357.16
PB357.18_repA	A903DI1A.B06	PB361.48
PB357.19_repA	A903DI1A.B07	PB358.29
PB357.20_repA	A903DI1A.B08	PB359.03
PB357.21_repA	A903DI1A.B09	PB361.01
PB357.22_repA	A903DI1A.B10	PB360.18
PB357.28_repA	A903DI1A.C04	PB357.28
PB357.29_repA	A903DI1A.C05	PB357.29
PB358.01_repA	A903DI1A.C07	PB358.34
PB358.04_repA	A903DI1A.C10	PB358.05
PB358.05_repA	A903DI1A.C11	PB358.04
PB358.07_repA	PB358.07	PB358.07
PB358.08_repA	A903DI1A.D02	PB358.08
PB358.12_repA	A903DI1A.D06	PB358.12
PB358.13_repA	A903DI1A.D07	PB358.13
PB358.18_repA	PB358.18	PB358.18
PB358.19_repA	PB358.19	PB361.23
PB358.25_repA	PB359.25	PB359.25
PB358.28_repA	A903DI1A.E10	PB358.28
PB358.29_repA	A903DI1A.E11	PB357.19
PB358.32_repA	A903DI1A.F02	PB358.32
PB358.33_repA	A903DI1A.F03	PB361.11
PB358.34_repA	A903DI1A.F04	PB358.01
PB358.39_repA	A903DI1A.F09	PB358.39
PB358.42_repA	PB358.42	PB358.42
PB358.43_repA	A903DI1B.C10	PB358.43
PB358.50_repA	PB358.50	PB360.21
PB358.57_repA	PB358.57	PB358.57
PB359.03_repA	PB359.03	PB357.20
PB359.06_repA	A903DI1B.A09	PB359.06
PB359.19_repA	A903DI1B.B01	PB359.19
PB359.25_repA	A903DI1A.E07	PB358.25
PB359.29_repA	PB359.29	PB360.57
PB359.33_repA	A903DI1B.B05	PB359.33
PB359.41_repA	A903DI1B.C11	PB359.41
PB359.42_repA	A903DI1B.C12	PB359.42
PB359.49_repA	A903DI1B.D07	PB359.86
PB359.51_repA	A903DI1B.D09	PB359.51
PB359.55_repA	A903DI1B.E01	PB359.55
PB359.56_repA	A903DI1B.E02	PB359.66
PB359.57_repA	A903DI1B.E03	PB359.57
PB359.64_repA	A903DI1B.E09	PB359.64
PB359.65_repA	A903DI1B.E10	PB359.65
PB359.66_repA	A903DI1B.E11	PB359.56
PB359.67_repA	A903DI1B.E12	PB359.67
PB359.70_repA	A903DI1B.F03	PB359.70
PB359.73_repA	A903DI1B.F06	PB359.73
PB359.83_repA	A903DI1B.G04	PB360.49
PB359.84_repA	A903DI1B.G05	PB359.84
PB359.86_repA	A903DI1B.G07	PB359.49
PB359.87_repA	A903DI1B.G08	PB359.87
PB359.88_repA	A903DI1B.G09	PB359.88
PB359.90_repA	PB359.90	PB359.90
PB360.02_repA	A903DI1B.H01	PB360.02
PB360.07_repA	A903DI1B.H06	PB360.07
PB360.08_repA	A903DI1B.H07	PB360.08
PB360.09_repA	A903DI1C.C08	PB360.45
PB360.13_repA	PB360.13	PB360.13
PB360.15_repA	PB360.15	PB360.15
PB360.18_repA	A903DI1C.A05	PB357.22
PB360.21_repA	A903DI1C.A08	PB358.50
PB360.22_repA	A903DI1C.A09	PB360.22
PB360.24_repA	A903DI1C.A11	PB360.26
PB360.26_repA	A903DI1C.B01	PB360.24
PB360.32_repA	A903DI1C.B07	PB360.32
PB360.36_repA	A903DI1C.B11	PB360.36
PB360.41_repA	A903DI1C.C04	PB360.41
PB360.42_repA	A903DI1C.C05	PB360.42
PB360.45_repA	A903DI1C.C08	PB360.45
PB360.46_repA	A903DI1C.C09	PB360.46
PB360.49_repA	A903DI1C.C12	PB359.83
PB360.50_repA	PB360.50	PB360.50
PB360.52_repA	A903DI1C.D03	PB360.52
PB360.53_repA	A903DI1C.D04	PB360.53
PB360.57_repA	A903DI1C.D08	PB359.29
PB360.59_repA	A903DI1C.D10	PB360.59
PB360.70_repA	A903DI1C.E09	PB360.70
PB360.75_repA	A903DI1C.F02	PB360.75
PB360.76_repA	A903DI1C.F03	PB360.76
PB360.83_repA	A903DI1C.F10	PB361.33
