ensembl_gene_id	chrom	start	end	strand	mgi_symbol
ENSMUSG00000102693	1	3073253	3074322	1	4933401J01Rik
ENSMUSG00000064842	1	3102016	3102125	1	Gm26206
ENSMUSG00000051951	1	3205901	3671498	-1	Xkr4
ENSMUSG00000102851	1	3252757	3253236	1	Gm18956
ENSMUSG00000103377	1	3365731	3368549	-1	Gm37180
ENSMUSG00000104017	1	3375556	3377788	-1	Gm37363
ENSMUSG00000103025	1	3464977	3467285	-1	Gm37686
ENSMUSG00000089699	1	3466587	3513553	1	Gm1992
ENSMUSG00000103201	1	3512451	3514507	-1	Gm37329
ENSMUSG00000103147	1	3531795	3532720	1	Gm7341
ENSMUSG00000103161	1	3592892	3595903	-1	Gm38148
ENSMUSG00000102331	1	3647309	3658904	-1	Gm19938
ENSMUSG00000102348	1	3680155	3681788	1	Gm10568
ENSMUSG00000102592	1	3752010	3754360	1	Gm38385
ENSMUSG00000088333	1	3783876	3783933	-1	Gm27396
ENSMUSG00000102343	1	3905739	3986215	-1	Gm37381
ENSMUSG00000102948	1	4256234	4260519	-1	Gm6101
ENSMUSG00000025900	1	4290846	4409241	-1	Rp1
ENSMUSG00000104123	1	4363346	4364829	-1	Gm37483
ENSMUSG00000025902	1	4490931	4497354	-1	Sox17
ENSMUSG00000104238	1	4496551	4499558	1	Gm37587
ENSMUSG00000102269	1	4522905	4526737	1	Gm7357
ENSMUSG00000096126	1	4529017	4529123	1	Gm22307
ENSMUSG00000103003	1	4534837	4535286	-1	Gm38076
ENSMUSG00000104328	1	4583129	4586252	-1	Gm37323
ENSMUSG00000102735	1	4610471	4611406	1	Gm7369
ENSMUSG00000098104	1	4687934	4689403	-1	Gm6085
ENSMUSG00000102175	1	4692219	4693424	-1	Gm6119
ENSMUSG00000088000	1	4723277	4723379	-1	Gm25493
ENSMUSG00000103265	1	4735046	4735676	-1	Gm2053
ENSMUSG00000103922	1	4771131	4772199	1	Gm6123
ENSMUSG00000033845	1	4773206	4785739	-1	Mrpl15
ENSMUSG00000102275	1	4778063	4779212	-1	Gm37144
ENSMUSG00000025903	1	4807788	4848410	1	Lypla1
ENSMUSG00000104217	1	4807892	4886770	1	Gm37988
ENSMUSG00000033813	1	4857814	4897909	1	Tcea1
ENSMUSG00000062588	1	4880049	4880651	-1	Gm6104
ENSMUSG00000103280	1	4905751	4906861	-1	Gm37277
ENSMUSG00000002459	1	4909576	5070285	-1	Rgs20
ENSMUSG00000091305	1	4927028	4927299	-1	Gm17100
ENSMUSG00000102653	1	4938576	4940710	-1	Gm37079
ENSMUSG00000085623	1	4970857	4976820	1	Gm16041
ENSMUSG00000091665	1	5063060	5064647	1	Gm17101
ENSMUSG00000033793	1	5070018	5162529	1	Atp6v1h
ENSMUSG00000104352	1	5276106	5277337	-1	Gm7182
ENSMUSG00000104046	1	5307739	5310017	1	Gm37567
ENSMUSG00000102907	1	5403547	5405578	1	Gm38264
ENSMUSG00000025905	1	5588466	5606131	1	Oprk1
ENSMUSG00000103936	1	5617837	5618230	-1	Gm36965
ENSMUSG00000093015	1	5644645	5644745	-1	Gm22463
ENSMUSG00000103519	1	5842874	5844672	-1	Gm37429
ENSMUSG00000033774	1	5913707	5917398	-1	Npbwr1
ENSMUSG00000103090	1	6048963	6050045	-1	Gm19214
ENSMUSG00000025907	1	6206197	6276648	1	Rb1cc1
ENSMUSG00000090031	1	6209866	6215293	-1	4732440D04Rik
ENSMUSG00000087247	1	6359218	6394731	1	Fam150a
ENSMUSG00000103355	1	6380394	6381032	1	Gm2147
ENSMUSG00000102706	1	6382634	6383106	-1	Gm7417
ENSMUSG00000103845	1	6429655	6441296	-1	Gm19026
ENSMUSG00000033740	1	6487231	6860940	1	St18
ENSMUSG00000103329	1	6861237	6864151	-1	Gm37405
ENSMUSG00000104385	1	6910560	6911222	1	Gm7449
ENSMUSG00000102135	1	6916559	6923588	1	Gm37108
ENSMUSG00000103282	1	6929759	6929788	1	Gm37275
ENSMUSG00000102534	1	6998217	6998541	1	Gm37225
ENSMUSG00000102213	1	7013762	7013920	1	Gm37489
ENSMUSG00000103629	1	7035915	7037217	1	Gm5694
ENSMUSG00000051285	1	7088920	7173628	1	Pcmtd1
ENSMUSG00000098201	1	7136199	7136586	-1	Gm26983
ENSMUSG00000103509	1	7148110	7152137	1	Gm38372
ENSMUSG00000048538	1	7177739	7179037	1	Gm9826
ENSMUSG00000103709	1	7189742	7189919	-1	Nras-ps2
ENSMUSG00000077244	1	7265803	7265932	1	Gm23274
ENSMUSG00000102768	1	7315451	7316462	1	Gm19002
ENSMUSG00000097797	1	7349406	7397869	-1	Gm26901
ENSMUSG00000103498	1	7410679	7411993	1	Gm18984
ENSMUSG00000103067	1	7497968	7518149	1	Gm30414
ENSMUSG00000102320	1	7591646	7591931	1	Gm37791
ENSMUSG00000104226	1	7597379	7599473	1	Gm7470
ENSMUSG00000103903	1	7664081	7664961	1	Rps2-ps2
ENSMUSG00000103557	1	7728861	7730565	-1	Gm38216
ENSMUSG00000025909	1	8361475	9299878	-1	Sntg1
ENSMUSG00000102647	1	8450960	8453491	-1	Gm38024
ENSMUSG00000086235	1	8468426	8468825	-1	Gm16284
ENSMUSG00000102253	1	8527780	8531313	-1	Gm38259
ENSMUSG00000093970	1	8588615	8588724	-1	Gm23358
ENSMUSG00000103884	1	8643696	8644859	-1	Gm37005
ENSMUSG00000084353	1	8791923	8792162	-1	Gm15452
ENSMUSG00000103933	1	8815842	8816039	1	Gm36964
ENSMUSG00000076135	1	8816138	8816247	1	Gm24276
ENSMUSG00000086195	1	8855928	8856267	-1	Gm6152
ENSMUSG00000104504	1	8856763	8857102	1	Gm7445
ENSMUSG00000066693	1	8962996	8963621	-1	Gm7493
ENSMUSG00000102316	1	9191067	9192116	-1	Gm37629
ENSMUSG00000103819	1	9258617	9259134	-1	Gm38008
ENSMUSG00000102871	1	9286922	9290180	1	Gm37143
ENSMUSG00000101571	1	9396773	9398687	-1	Gm6187
ENSMUSG00000104428	1	9439741	9440376	-1	Gm18299
ENSMUSG00000102272	1	9450579	9451748	1	Gm7512
ENSMUSG00000065625	1	9458670	9458772	1	Gm24765
ENSMUSG00000103411	1	9499338	9501522	-1	Gm18300
ENSMUSG00000061024	1	9545408	9547455	1	Rrs1
ENSMUSG00000025911	1	9547948	9580673	1	Adhfe1
ENSMUSG00000079671	1	9560832	9631175	-1	2610203C22Rik
ENSMUSG00000081441	1	9574548	9575649	1	Gm6161
ENSMUSG00000067879	1	9601199	9627143	1	3110035E14Rik
ENSMUSG00000099827	1	9639255	9640582	-1	Gm29520
ENSMUSG00000025912	1	9667415	9700209	-1	Mybl1
ENSMUSG00000045210	1	9718622	9748382	-1	Vcpip1
ENSMUSG00000097893	1	9747648	9791922	1	1700034P13Rik
ENSMUSG00000025915	1	9798107	9900845	1	Sgk3
ENSMUSG00000046334	1	9802197	9802553	-1	Gm6195
ENSMUSG00000088916	1	9834498	9834602	-1	Gm22607
ENSMUSG00000046101	1	9908638	9942085	1	Mcmdc2
ENSMUSG00000098234	1	9941959	9944118	-1	Snhg6
ENSMUSG00000093178	1	9942463	9942549	-1	Snord87
ENSMUSG00000099032	1	9960163	9967932	-1	Tcf24
ENSMUSG00000104025	1	9967314	9968687	1	E330040D14Rik
ENSMUSG00000025916	1	9968624	10009136	-1	Ppp1r42
ENSMUSG00000087199	1	9982387	9992366	1	Gm15818
ENSMUSG00000095780	1	10009814	10009917	-1	Gm24674
ENSMUSG00000025917	1	10024601	10038168	-1	Cops5
ENSMUSG00000056763	1	10037987	10136768	1	Cspp1
ENSMUSG00000102356	1	10057025	10057944	-1	1700047N06Rik
ENSMUSG00000067851	1	10137571	10232670	-1	Arfgef1
ENSMUSG00000088153	1	10166539	10166778	1	Gm26348
ENSMUSG00000102556	1	10197081	10198802	-1	Gm37569
ENSMUSG00000042501	1	10324720	10719945	-1	Cpa6
ENSMUSG00000103810	1	10449245	10451989	-1	Gm38005
ENSMUSG00000083422	1	10554098	10555553	-1	Gm15604
ENSMUSG00000094979	1	10555554	10555660	-1	Gm25253
ENSMUSG00000081417	1	10695123	10695614	1	Gm15603
ENSMUSG00000103448	1	10782456	10784377	-1	Gm37133
ENSMUSG00000100212	1	10805281	10806522	1	Gm5522
ENSMUSG00000100648	1	10868688	10869446	1	Gm28659
ENSMUSG00000088585	1	10921670	10921760	1	Gm22963
ENSMUSG00000048960	1	10993465	11303681	1	Prex2
ENSMUSG00000077318	1	11134111	11134238	-1	Gm24173
ENSMUSG00000101827	1	11223566	11224174	-1	Gm28686
ENSMUSG00000103494	1	11363926	11366964	-1	Gm37410
ENSMUSG00000057715	1	11414105	11975901	1	A830018L16Rik
ENSMUSG00000103825	1	11416918	11419388	1	Gm38178
ENSMUSG00000099845	1	11608139	11608400	-1	Gm29273
ENSMUSG00000103561	1	11704207	11706350	1	Gm38069
ENSMUSG00000101610	1	12120960	12121832	1	Gm7560
ENSMUSG00000093864	1	12374936	12375042	1	Gm22633
ENSMUSG00000098555	1	12425986	12426106	1	Mir6341
