marker,chr,cM
1_3000000,1,1.44955432941694
1_3041392,1,1.46955432941694
1_3346528,1,1.47955432941694
1_3651663,1,1.48955432941694
1_3657931,1,1.50955432941694
1_3664199,1,1.52955432941694
1_4092175,1,1.53955432941694
1_4520151,1,1.54955432941694
1_4522808,1,1.56955432941694
1_4525465,1,1.58955432941694
1_4528122,1,1.60955432941694
1_4530778,1,1.62955432941694
1_4533435,1,1.64955432941694
1_4536092,1,1.66955432941694
1_4538749,1,1.68955432941694
1_4541406,1,1.70955432941694
1_4543933,1,1.72955432941694
1_4546318,1,1.74955432941694
1_4548703,1,1.76955432941694
1_4900245,1,1.78955432941694
1_4997286,1,1.80955432941694
1_5011104,1,1.82955432941694
1_5024922,1,1.84955432941694
1_5105097,1,1.86955432941694
1_5312828,1,1.88955432941694
1_5488203,1,1.90955432941694
1_5632546,1,1.92955432941694
1_5945478,1,1.94955432941694
1_6273359,1,1.96955432941694
1_6328407,1,1.98955432941694
1_6376491,1,2.00955432941694
1_6424575,1,2.02955432941694
1_6596695,1,2.04955432941694
1_6664673,1,2.06955432941694
1_6669047,1,2.08955432941694
1_6673421,1,2.10955432941694
1_6815977,1,2.12955432941694
1_6817632,1,2.14955432941694
1_6819287,1,2.16955432941694
1_6826221,1,2.18955432941694
1_6831232,1,2.20955432941694
1_6836243,1,2.22955432941694
1_7070795,1,2.24955432941694
1_7511318,1,2.26955432941694
1_7533252,1,2.28955432941694
1_7555186,1,2.30955432941694
1_8020536,1,2.3162209960836
1_8485886,1,2.32288766275027
1_8951236,1,2.32955432941694
1_8987664,1,2.34955432941694
1_9024093,1,2.36955432941694
1_9386562,1,2.37955432941694
1_9749030,1,2.38955432941694
1_9822456,1,2.40955432941694
1_9831915,1,2.42955432941694
1_9841374,1,2.44955432941694
1_9902809,1,2.46955432941694
1_9964486,1,2.48955432941694
1_9967902,1,2.50955432941694
1_9971318,1,2.52955432941694
1_10056588,1,2.54955432941694
1_10126498,1,2.56955432941694
1_10151610,1,2.58955432941694
1_10176723,1,2.60955432941694
1_10201836,1,2.62955432941694
1_10226949,1,2.64955432941694
1_10256995,1,2.66955432941694
1_10620075,1,2.68955432941694
1_10626018,1,2.70955432941694
1_10631960,1,2.72955432941694
1_10708706,1,2.74955432941694
1_10748960,1,2.76955432941694
1_10776238,1,2.78955432941694
1_10803515,1,2.80955432941694
1_10860067,1,2.82955432941694
1_10933649,1,2.84955432941694
1_11308001,1,2.86955432941694
1_11380806,1,2.88955432941694
1_11453611,1,2.90955432941694
1_11520373,1,2.92955432941694
1_11531187,1,2.94955432941694
1_11539768,1,2.96955432941694
1_11548349,1,2.98955432941694
1_11572899,1,3.00955432941694
1_11580650,1,3.02955432941694
1_11588401,1,3.04955432941694
1_11598344,1,3.06955432941694
1_11770399,1,3.08955432941694
1_11861950,1,3.10955432941694
1_11902002,1,3.12955432941694
1_11942055,1,3.14955432941694
1_11982107,1,3.16955432941694
1_12022159,1,3.18955432941694
1_12062212,1,3.20955432941694
1_12102264,1,3.22955432941694
1_12134180,1,3.24955432941694
1_12176121,1,3.26955432941694
1_12240173,1,3.28955432941694
1_12304225,1,3.30955432941694
1_12368277,1,3.32955432941694
1_12399434,1,3.34955432941694
1_12400929,1,3.36955432941694
1_12402424,1,3.38955432941694
1_12449077,1,3.40955432941694
1_12621132,1,3.42955432941694
1_12732461,1,3.44955432941694
1_12739162,1,3.46955432941694
1_12745863,1,3.48955432941694
1_12790802,1,3.50955432941694
1_12814775,1,3.52955432941694
1_12827873,1,3.54955432941694
1_12835048,1,3.56955432941694
1_12839190,1,3.58955432941694
1_12843331,1,3.60955432941694
1_12847473,1,3.62955432941694
1_12851614,1,3.64955432941694
1_12855756,1,3.66955432941694
1_12859898,1,3.68955432941694
1_12864039,1,3.70955432941694
1_12867853,1,3.72955432941694
1_12870727,1,3.74955432941694
1_12873601,1,3.76955432941694
1_12876474,1,3.78955432941694
1_12879348,1,3.80955432941694
1_12882222,1,3.82955432941694
1_12885096,1,3.84955432941694
1_12887970,1,3.86955432941694
1_12891559,1,3.88955432941694
1_12895401,1,3.90955432941694
1_12908849,1,3.92955432941694
1_12988613,1,3.94955432941694
1_13275729,1,3.96955432941694
1_13329064,1,3.98955432941694
1_13382398,1,4.00955432941694
1_13435733,1,4.02955432941694
1_13859866,1,4.04955432941694
1_13860794,1,4.06955432941694
1_13861721,1,4.08955432941694
1_13879951,1,4.10955432941694
1_14231944,1,4.12955432941694
1_14240672,1,4.14955432941694
1_14249401,1,4.16955432941694
1_14258129,1,4.18955432941694
1_14261807,1,4.20955432941694
1_14263147,1,4.22955432941694
1_14264487,1,4.24955432941694
1_14445056,1,4.26955432941694
1_14461962,1,4.28955432941694
1_14463818,1,4.30955432941694
1_14465674,1,4.32955432941694
1_14467530,1,4.34955432941694
1_14469386,1,4.36955432941694
1_14471242,1,4.38955432941694
1_14582706,1,4.40955432941694
1_14625774,1,4.42955432941694
1_14668843,1,4.44955432941694
1_14688345,1,4.46955432941694
1_14703529,1,4.48955432941694
1_14718713,1,4.50955432941694
1_14733897,1,4.52955432941694
1_14752005,1,4.54955432941694
1_14769772,1,4.56955432941694
1_14787539,1,4.58955432941694
1_14805306,1,4.60955432941694
1_14842431,1,4.62955432941694
1_14915717,1,4.64955432941694
1_14989002,1,4.66955432941694
1_15000175,1,4.68955432941694
1_15005483,1,4.70955432941694
1_15010790,1,4.72955432941694
1_15061272,1,4.74955432941694
1_15104654,1,4.76955432941694
1_15105039,1,4.78955432941694
1_15105424,1,4.80955432941694
1_15133541,1,4.82955432941694
1_15206827,1,4.84955432941694
1_15280112,1,4.86955432941694
1_15353398,1,4.88955432941694
1_15426683,1,4.90955432941694
1_15565196,1,4.92955432941694
1_15570146,1,4.94955432941694
1_15574680,1,4.96955432941694
1_15579215,1,4.98955432941694
1_15583749,1,5.00955432941694
1_15588283,1,5.02955432941694
1_15594241,1,5.04955432941694
1_15815399,1,5.06955432941694
1_15875153,1,5.08955432941694
1_15934907,1,5.10955432941694
1_15949282,1,5.12955432941694
1_15959923,1,5.14955432941694
1_15970564,1,5.16955432941694
1_15981204,1,5.18955432941694
1_16008183,1,5.20955432941694
1_16055165,1,5.22955432941694
1_16071308,1,5.24955432941694
1_16087451,1,5.26955432941694
1_16103594,1,5.28955432941694
1_16119737,1,5.30955432941694
1_16202701,1,5.32955432941694
1_16219251,1,5.34955432941694
1_16235800,1,5.36955432941694
1_16605988,1,5.38955432941694
1_16618525,1,5.40955432941694
1_16631062,1,5.42955432941694
1_16970870,1,5.44955432941694
1_17276722,1,5.45955432941694
1_17582575,1,5.46955432941694
1_17599037,1,5.48955432941694
1_17615500,1,5.50955432941694
1_18001823,1,5.52955432941694
1_18015666,1,5.54955432941694
1_18029509,1,5.56955432941694
1_18130008,1,5.58955432941694
1_18155233,1,5.60955432941694
1_18180457,1,5.62955432941694
1_18491326,1,5.64955432941694
1_18495724,1,5.66955432941694
1_18500121,1,5.68955432941694
1_18770593,1,5.70955432941694
1_18775491,1,5.72955432941694
1_18780389,1,5.74955432941694
1_18785287,1,5.76955432941694
1_18790185,1,5.78955432941694
1_18797518,1,5.80955432941694
1_19164986,1,5.82955432941694
1_19209401,1,5.84955432941694
1_19253815,1,5.86955432941694
1_19298230,1,5.88955432941694
1_19371181,1,5.90955432941694
1_19486375,1,5.92955432941694
1_19518914,1,5.94955432941694
1_19551452,1,5.96955432941694
1_19589201,1,5.98955432941694
1_19922091,1,6.00955432941694
1_19940470,1,6.02955432941694
1_19958850,1,6.04955432941694
1_20229036,1,6.05955432941694
1_20499222,1,6.06955432941694
1_20500136,1,6.08955432941694
1_20501049,1,6.10955432941694
1_20609816,1,6.12955432941694
1_20747122,1,6.14955432941694
1_20751018,1,6.16955432941694
1_20754915,1,6.18955432941694
1_20806204,1,6.20955432941694
1_20987507,1,6.22955432941694
1_21055901,1,6.24955432941694
1_21124296,1,6.26955432941694
1_21127272,1,6.28955432941694
1_21127292,1,6.30955432941694
1_21127313,1,6.32955432941694
1_21191742,1,6.34955432941694
1_21260137,1,6.36955432941694
1_21398131,1,6.38955432941694
1_21440554,1,6.40955432941694
1_21467971,1,6.42955432941694
1_21495388,1,6.44955432941694
1_21594520,1,6.46955432941694
1_21611879,1,6.48955432941694
1_21615693,1,6.50955432941694
1_21619507,1,6.52955432941694
1_21623321,1,6.54955432941694
1_21627135,1,6.56955432941694
1_21630948,1,6.58955432941694
1_21634762,1,6.60955432941694
1_21640536,1,6.62955432941694
1_21647107,1,6.64955432941694
1_21718730,1,6.66955432941694
1_21725620,1,6.68955432941694
1_21732509,1,6.70955432941694
1_21792271,1,6.72955432941694
1_21792407,1,6.74955432941694
1_21792542,1,6.76955432941694
1_21792678,1,6.78955432941694
1_21792813,1,6.80955432941694
1_21792949,1,6.82955432941694
1_22019824,1,6.84955432941694
1_22037367,1,6.86955432941694
1_22043027,1,6.88955432941694
1_22048687,1,6.90955432941694
1_22054347,1,6.92955432941694
1_22060007,1,6.94955432941694
1_22069064,1,6.96955432941694
1_22076149,1,6.98955432941694
1_22078881,1,7.00955432941694
1_22081613,1,7.02955432941694
1_22084345,1,7.04955432941694
1_22087077,1,7.06955432941694
1_22089809,1,7.08955432941694
1_22092540,1,7.10955432941694
1_22095272,1,7.12955432941694
1_22098004,1,7.14955432941694
1_22100736,1,7.16955432941694
1_22103468,1,7.18955432941694
1_22107732,1,7.20955432941694
1_22120288,1,7.22955432941694
1_22134064,1,7.24955432941694
1_22147841,1,7.26955432941694
1_22161617,1,7.28955432941694
1_22196985,1,7.30955432941694
1_22249757,1,7.32955432941694
1_22302528,1,7.34955432941694
1_22355300,1,7.36955432941694
1_22435365,1,7.38955432941694
1_22453471,1,7.40955432941694
1_22471577,1,7.42955432941694
1_22507341,1,7.44955432941694
1_22520003,1,7.46955432941694
1_22532664,1,7.48955432941694
1_22558186,1,7.50955432941694
1_22576531,1,7.52955432941694
1_22577673,1,7.54955432941694
1_22578815,1,7.56955432941694
1_22626182,1,7.58955432941694
1_22632308,1,7.60955432941694
1_22638434,1,7.62955432941694
1_22773974,1,7.64955432941694
1_22830077,1,7.66955432941694
1_22830121,1,7.68955432941694
1_22830166,1,7.70955432941694
1_22874710,1,7.72955432941694
1_22939622,1,7.74955432941694
1_22963733,1,7.76955432941694
1_22985774,1,7.78955432941694
1_23007815,1,7.80955432941694
1_23029856,1,7.82955432941694
1_23044601,1,7.84955432941694
1_23047856,1,7.86955432941694
1_23051111,1,7.88955432941694
1_23054366,1,7.90955432941694
1_23057620,1,7.92955432941694
1_23060875,1,7.94955432941694
1_23066746,1,7.96955432941694
1_23131658,1,7.98955432941694
1_23204497,1,8.00955432941694
1_23341424,1,8.02955432941694
1_23388518,1,8.04955432941694
1_23435612,1,8.06955432941694
1_23477978,1,8.08955432941694
1_23484108,1,8.10955432941694
1_23490238,1,8.12955432941694
1_23496368,1,8.14955432941694
